Value,LastModifiedDateUTC
"Baker County, Florida",2019-06-04 22:00:14.557
"Baker County, Georgia",2019-06-04 22:00:14.557
"Baker County, Oregon",2019-06-04 22:00:14.557
"Baldwin County, Alabama",2019-06-04 22:00:14.557
"Baldwin County, Georgia",2019-06-04 22:00:14.557
"Ballard County, Kentucky",2019-06-04 22:00:14.557
"Baltimore County, Maryland",2019-06-04 22:00:14.557
"Baltimore, City of, Maryland",2019-06-04 22:00:14.557
"Bamberg County, South Carolina",2019-06-04 22:00:14.557
"Bandera County, Texas",2019-06-04 22:00:14.557
"Banks County, Georgia",2019-06-04 22:00:14.557
"Banner County, Nebraska",2019-06-04 22:00:14.557
"Bannock County, Idaho",2019-06-04 22:00:14.557
"Baraga County, Michigan",2019-06-04 22:00:14.557
"Barber County, Kansas",2019-06-04 22:00:14.557
"Barbour County, Alabama",2019-06-04 22:00:14.557
"Barbour County, West Virginia",2019-06-04 22:00:14.557
"Barnes County, North Dakota",2019-06-04 22:00:14.557
"Barnstable County, Massachusetts",2019-06-04 22:00:14.557
"Barnwell County, South Carolina",2019-06-04 22:00:14.557
"Barren County, Kentucky",2019-06-04 22:00:14.557
"Barron County, Wisconsin",2019-06-04 22:00:14.557
"Barrow County, Georgia",2019-06-04 22:00:14.557
"Barry County, Michigan",2019-06-04 22:00:14.557
"Barry County, Missouri",2019-06-04 22:00:14.557
"Bartholomew County, Indiana",2019-06-04 22:00:14.557
"Barton County, Kansas",2019-06-04 22:00:14.557
"Barton County, Missouri",2019-06-04 22:00:14.557
"Bartow County, Georgia",2019-06-04 22:00:14.557
"Bastrop County, Texas",2019-06-04 22:00:14.557
"Bates County, Missouri",2019-06-04 22:00:14.557
"Bath County, Kentucky",2019-06-04 22:00:14.557
"Bath County, Virginia",2019-06-04 22:00:14.557
"Baxter County, Arkansas",2019-06-04 22:00:14.557
"Bay County, Florida",2019-06-04 22:00:14.557
"Bay County, Michigan",2019-06-04 22:00:14.557
"Bayfield County, Wisconsin",2019-06-04 22:00:14.557
"Baylor County, Texas",2019-06-04 22:00:14.557
"Beadle County, South Dakota",2019-06-04 22:00:14.557
"Bear Lake County, Idaho",2019-06-04 22:00:14.557
"Beaufort County, North Carolina",2019-06-04 22:00:14.557
"Beaufort County, South Carolina",2019-06-04 22:00:14.557
"Beauregard Parish, Louisiana",2019-06-04 22:00:14.557
"Beaver County, Oklahoma",2019-06-04 22:00:14.557
"Beaver County, Pennsylvania",2019-06-04 22:00:14.557
"Beaver County, Utah",2019-06-04 22:00:14.557
"Beaverhead County, Montana",2019-06-04 22:00:14.557
"Becker County, Minnesota",2019-06-04 22:00:14.557
"Beckham County, Oklahoma",2019-06-04 22:00:14.557
"Bedford County, Pennsylvania",2019-06-04 22:00:14.557
"Bedford County, Tennessee",2019-06-04 22:00:14.557
"Bedford County, Virginia",2019-06-04 22:00:14.557
"Bedford, City of, Virginia",2019-06-04 22:00:14.557
"Bee County, Texas",2019-06-04 22:00:14.557
"Belknap County, New Hampshire",2019-06-04 22:00:14.557
"Bell County, Kentucky",2019-06-04 22:00:14.557
"Bell County, Texas",2019-06-04 22:00:14.557
"Belmont County, Ohio",2019-06-04 22:00:14.557
"Beltrami County, Minnesota",2019-06-04 22:00:14.557
"Ben Hill County, Georgia",2019-06-04 22:00:14.557
"Benewah County, Idaho",2019-06-04 22:00:14.557
"Bennett County, South Dakota",2019-06-04 22:00:14.557
"Bennington County, Vermont",2019-06-04 22:00:14.557
"Benson County, North Dakota",2019-06-04 22:00:14.557
"Bent County, Colorado",2019-06-04 22:00:14.557
"Benton County, Arkansas",2019-06-04 22:00:14.557
"Benton County, Indiana",2019-06-04 22:00:14.557
"Benton County, Iowa",2019-06-04 22:00:14.557
"Benton County, Minnesota",2019-06-04 22:00:14.557
"Benton County, Mississippi",2019-06-04 22:00:14.557
"Benton County, Missouri",2019-06-04 22:00:14.557
"Benton County, Oregon",2019-06-04 22:00:14.557
"Benton County, Tennessee",2019-06-04 22:00:14.557
"Benton County, Washington",2019-06-04 22:00:14.557
"Benzie County, Michigan",2019-06-04 22:00:14.557
"Bergen County, New Jersey",2019-06-04 22:00:14.557
"Berkeley County, South Carolina",2019-06-04 22:00:14.557
